Url,Title,Description,PriceList,Ratings,No of reiviewa
https://www.amazon.in/Skybags-BPFUS27EGRN-FUSE-BACKPACK-GREEN/dp/B0B3XWD2CS/ref=sr_1_90?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-90,Skybags,FUSE 27L BACKPACK GREEN ,889,3.7 out of 5 stars,504
https://www.amazon.in/IRMAO-Embroidered-Artistic-National-Generation/dp/B09NNG1P81/ref=sr_1_91?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-91,IRMAO,2021 New Flower Embroidered Artistic National Style Oxford Large Capacity Women's Bag Generation Backpack ,499,4.4 out of 5 stars,"2,894"
https://www.amazon.in/Tripole-Colonel-Litres-Rucksack-Detachable/dp/B077P5Z4GV/ref=sr_1_92?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-92,TriPole,"Colonel 80 Litres Rucksack + Detachable Day Pack, Army Green ","2,826",4.4 out of 5 stars,"2,796"
https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0501/dp/B07G4HH78P/ref=sr_1_93?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-93,Gear,Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Navy ,879,3.9 out of 5 stars,14
https://www.amazon.in/Safari-Overnighter-Resistant-Travelling-All-Purpose/dp/B097JMR4M6/ref=sr_1_94?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-94,Safari,"Seek 32 Ltrs Overnighter Travel Laptop Backpack (Black), Water Resistant Spacious Bag for Travelling and Camping, All-Purpose Bag for Business & Leisure ","1,399",4.2 out of 5 stars,"5,114"
https://www.amazon.in/Gear-Beige-Casual-Backpack-BKPTRMP520522/dp/B00VWM11HQ/ref=sr_1_95?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-95,Gear,Triumph 26L Water Resistant School Bag//Backpack/College Bag for Men/Women - Navy Blue ,809,4.0 out of 5 stars,"1,522"
https://www.amazon.in/Gear-Expandable-RainCover-Grey-Black-TLPTURBO00401/dp/B097KDRZ67/ref=sr_1_97?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029693&s=luggage&sr=1-97,Gear,Turbo 45L Expandable Water Resistant Antitheft Laptop Bag/Backpack/Briefcase for Men/Women with RainCover (Grey) ,"1,795",4.4 out of 5 stars,608
https://www.amazon.in/Puma-Black-Casual-Backpack-7358101/dp/B00XZU9TSG/ref=sr_1_98?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029693&s=luggage&sr=1-98,Puma,PUMA Buzz Backpack ,"1,279",4.3 out of 5 stars,"9,327"
https://www.amazon.in/F-Gear-Burner-Grey-Black-Backpack/dp/B01GVN0KJ0/ref=sr_1_99?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029693&s=luggage&sr=1-99,F Gear,Burner Grey Black 19 Ltrs Casual Backpack (2449) ,586,4.3 out of 5 stars,"3,149"
https://www.amazon.in/BP1501-15-6-inch-Gaming-Laptop-Backpack/dp/B081RLHHCY/ref=sr_1_100?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029693&s=luggage&sr=1-100,ASUS,Asus ROG BP1501 39.62 cm (15.6-inch) Gaming Laptop Backpack (Black) ,"1,199",4.3 out of 5 stars,694
https://www.amazon.in/Backpack-Adventure-Camping-Trekking-Rucksack/dp/B091SNKKB4/ref=sr_1_101?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029693&s=luggage&sr=1-101,AFN FASHION,70L Travel Backpack Hiking Bag Adventure Camping Trekking Bag Rucksack -70L ,873,4.0 out of 5 stars,"1,131"
